Times,Euclidean Distance [m],Mahalanobis Distance [m],Pc
764402400.8933891,4425.668802752648,108.600761249035,1.67256327e-07
764402400.8934891,4426.163871618812,109.80370403421246,1.67107348e-07
764402400.8935891,4426.658940486527,105.74091957173435,1.66949011e-07
764402400.8936892,4427.154009355794,105.7978263028952,1.66801854e-07
764402400.8937892,4427.649078227088,102.20223139748528,1.6665585e-07
764402400.8938892,4428.1441470999325,103.52789443399217,1.66505874e-07
764402400.8939892,4428.639215975211,103.51215239948,1.66350944e-07
764402400.8940892,4429.134284851154,105.3349320563128,1.66203139e-07
764402400.8941892,4429.629353728645,97.5675275525896,1.66052898e-07
764402400.8942893,4430.124422607684,97.28434136352361,1.65895812e-07
764402400.8943893,4430.619491487793,99.76841939505661,1.65758731e-07
764402400.8944893,4431.1145603694495,107.02084589077401,1.65606085e-07
764402400.8945893,4431.609629252653,102.78677716524898,1.65458319e-07
764402400.8946893,4432.104698137401,99.678304859311,1.65309532e-07
764402400.8947893,4432.599767023695,103.30542991341325,1.65161439e-07
764402400.8948894,4433.094835911534,106.59957696037753,1.65009839e-07
764402400.8949894,4433.589904800917,107.99781531640416,1.64863888e-07
764402400.8950894,4434.0849736918435,104.8295696897457,1.64718037e-07
764402400.8951894,4434.580042584791,101.05733977507036,1.64560722e-07
764402400.8952894,4435.075111480167,101.65835476845695,1.6441438e-07
764402400.8953894,4435.570180376199,100.55983128524844,1.64264175e-07
764402400.8954895,4436.065249273773,105.73312954219539,1.64117762e-07
764402400.8955895,4436.5603181728875,106.97681870276561,1.63974439e-07
764402400.8956895,4437.055387073066,97.84819488134004,1.63813157e-07
764402400.8957895,4437.550455973745,99.56470178329818,1.63673437e-07
764402400.8958895,4438.045524875962,100.53470411731294,1.63523771e-07
764402400.8959895,4438.540593780605,95.31692138888367,1.63370781e-07
764402400.8960896,4439.0356626859,100.17042372505887,1.63226757e-07
764402400.8961896,4439.530731592733,105.91800551811394,1.63085074e-07
764402400.8962896,4440.025800502146,97.8708401428481,1.62937503e-07
764402400.8963896,4440.520869413094,103.11550544794103,1.62791016e-07
764402400.8964896,4441.015938326058,100.67717505762104,1.62639158e-07
764402400.8965896,4441.511007240556,100.92272858276236,1.62492766e-07
764402400.8966897,4442.006076157477,100.16552382342152,1.62347934e-07
764402400.8967897,4442.501145075046,101.97031035821072,1.62197803e-07
764402400.8968897,4442.99621399415,106.61133050311741,1.62059005e-07
